iterations,random,proportional,tournament
0,1577666.587,1571266.671,1576134.775
1,1573913.751,1571266.671,1576134.775
2,1573913.751,1571266.671,1564304.15
3,1573913.751,1563852.114,1547303.615
4,1573913.751,1563236.561,1547303.615
5,1573913.751,1563236.561,1543203.07
6,1566480.924,1563236.561,1537469.32
7,1566480.924,1563236.561,1537469.32
8,1566480.924,1552938.826,1525249.478
9,1566480.924,1552938.826,1525249.478
10,1566480.924,1552938.826,1525249.478
11,1566480.924,1552290.784,1525249.478
12,1560351.971,1552035.593,1525249.478
13,1548926.253,1552035.593,1525249.478
14,1544399.213,1550680.035,1503288.476
15,1544399.213,1548252.772,1503288.476
16,1544399.213,1548252.772,1503288.476
17,1544399.213,1527229.971,1503288.476
18,1541052.481,1527229.971,1500828.683
19,1541052.481,1527229.971,1496241.264
20,1536823.953,1527229.971,1490492.849
21,1536156.035,1522426.885,1474840.601
22,1521964.678,1522426.885,1479075.025
23,1521964.678,1519424.667,1479075.025
24,1521964.678,1519424.667,1470919.652
25,1521964.678,1518787.716,1459220.999
26,1521144.615,1518787.716,1452980.012
27,1521144.615,1518787.716,1452980.012
28,1511655.556,1518787.716,1451378.421
29,1511655.556,1501849.222,1451378.421
30,1511655.556,1501849.222,1442053.834
31,1511655.556,1501849.222,1441713.109
32,1511655.556,1501849.222,1441583.817
33,1511655.556,1501849.222,1440015.253
34,1511298.183,1501849.222,1434408.423
35,1510141.882,1501849.222,1434401.2
36,1494009.764,1495221.752,1431118.088
37,1494009.764,1472371.271,1429106.907
38,1491329.743,1472371.271,1419620.764
39,1489762.81,1472371.271,1416243.695
40,1478949.443,1472371.271,1413664.178
41,1474974.249,1473172.441,1412685.795
42,1474974.249,1477584.128,1409656.61
43,1469595.993,1447397.669,1399702.164
44,1469595.993,1448271.619,1396831.285
45,1468614.219,1448271.619,1396831.285
46,1465222.237,1448271.619,1394649.96
47,1464713.465,1448271.619,1394649.96
48,1464713.465,1448271.619,1393204.877
49,1460033.092,1448271.619,1385572.008
50,1452624.529,1448271.619,1384469.711
51,1452624.529,1448271.619,1378852.171
52,1452624.529,1448271.619,1378852.171
53,1452624.529,1448271.619,1378852.171
54,1452624.529,1448271.619,1375345.944
55,1444387.415,1448271.619,1366878.304
56,1426403.634,1444878.526,1366557.675
57,1426403.634,1444026.431,1363149.253
58,1425827.788,1444026.431,1361838.08
59,1425827.788,1444026.431,1355334.199
60,1425827.788,1432205.464,1355334.199
61,1416662.744,1432205.464,1355334.199
62,1417548.766,1432205.464,1353419.656
63,1417520.72,1436410.066,1352032.452
64,1417520.72,1436410.066,1350639.997
65,1417520.72,1436410.066,1349871.439
66,1417520.72,1433909.925,1348106.268
67,1417520.72,1433909.925,1347436.794
68,1417520.72,1424749.091,1339948.839
69,1417520.72,1424749.091,1339948.839
70,1415801.432,1414718.563,1338160.721
71,1413271.192,1414718.563,1334501.359
72,1409312.301,1414718.563,1334501.359
73,1409312.301,1414718.563,1329264.442
74,1409132.911,1414718.563,1329264.442
75,1405156.177,1412823.724,1326061.297
76,1395510.2,1406113.677,1326061.297
77,1395510.2,1406113.677,1325889.998
78,1395510.2,1406113.677,1323370.579
79,1393579.897,1406113.677,1320482.877
80,1393579.897,1406113.677,1315997.836
81,1393579.897,1406113.677,1315997.836
82,1393579.897,1401705.937,1314913.1
83,1393579.897,1400211.718,1314913.1
84,1389564.751,1400211.718,1310808.409
85,1389564.751,1393793.897,1310808.409
86,1389564.751,1393793.897,1306930.941
87,1384345.93,1393793.897,1305357.158
88,1384146.719,1393793.897,1304699.667
89,1384146.719,1385004.964,1301272.366
90,1371358.295,1385004.964,1296254.362
91,1371358.295,1385004.964,1296254.362
92,1371358.295,1383610.349,1293792.026
93,1371358.295,1378596.701,1293792.026
94,1369059.152,1365503.798,1293792.026
95,1369059.152,1365503.798,1290028.14
96,1369059.152,1365503.798,1290028.14
97,1369059.152,1365503.798,1284390.534
98,1369059.152,1365503.798,1284390.534
99,1368283.997,1365503.798,1283462.072
100,1367488.351,1365015.152,1282057.885
